Ant_subfamily,Ant_species,Plant_family,Plant_species
Dolichoderinae,Azteca_alfori,Euphorbiaceae,Acalypha_skutchii
Formicinae,Camponotus_integellus,Euphorbiaceae,Acalypha_skutchii
Myrmicinae,Pheidole_sp1,Euphorbiaceae,Acalypha_skutchii
Formicinae,Camponotus_plantatus,Arecaceae,Astrocarium_mexicanum
Formicinae,Camponotus_plantatus,Arecaceae,Astrocarium_mexicanum
Formicinae,Camponotus_raphaelis,Arecaceae,Astrocarium_mexicanum
Myrmicinae,Cephalotes_pallens,Arecaceae,Astrocarium_mexicanum
Dolichoderinae,Dolichoderus_bispinosus,Arecaceae,Astrocarium_mexicanum
Dolichoderinae,Dolichoderus_bispinosus,Arecaceae,Astrocarium_mexicanum
Myrmicinae,Pheidole_dossera,Arecaceae,Astrocarium_mexicanum
Myrmicinae,Pheidole_dossera,Arecaceae,Astrocarium_mexicanum
Myrmicinae,Pheidole_sp1,Arecaceae,Astrocarium_mexicanum
Pseudomyrmecinae,Pseudomyrmex_boopis,Arecaceae,Astrocarium_mexicanum
Pseudomyrmecinae,Pseudomyrmex_salvini,Arecaceae,Astrocarium_mexicanum
Myrmicinae,Temnothorax_sp1,Arecaceae,Astrocarium_mexicanum
Myrmicinae,Wasmannia_auropunctata,Arecaceae,Astrocarium_mexicanum
Ponerinae,Neoponera_villosa,Malpighiaceae,Bunchosia_lindanna
Myrmicinae,Atta_cephalotes,Costaceae,Costus_scaber
Dolichoderinae,Dolichoderus_bispinosus,Costaceae,Costus_scaber
Ponerinae,Neoponera_apicalis,Costaceae,Costus_scaber
Ponerinae,Platythyrea_punctata,Costaceae,Costus_scaber
Myrmicinae,Pheidole_sp2,Fabaceae,Dussia_mexicana
Formicinae,Camponotus_novogranadensis,Fabaceae,Inga_sinacae
Dolichoderinae,Dolichoderus_bispinosus,Fabaceae,Inga_sinacae
Pseudomyrmecinae,Pseudomyrmex_boopis,Fabaceae,Inga_sinacae
Pseudomyrmecinae,Pseudomyrmex_salvini,Fabaceae,Inga_sinacae
Dolichoderinae,Dolichoderus_bispinosus,Euphorbiaceae,Omphalea_deifera
Myrmicinae,Pheidole_sp1,Euphorbiaceae,Omphalea_deifera
Formicinae,Camponotus_sanctafidei,Piperaceae,Piper_aecuale
Myrmicinae,Pheidole_sp2,Piperaceae,Piper_aecuale
Myrmicinae,Procryptocerus_paleatus,Piperaceae,Piper_aecuale
Dolichoderinae,Dolichoderus_lutosus,Sapotaceae,Pouteria_reticulata
Myrmicinae,Pheidole_sp2,Sapotaceae,Pouteria_reticulata
Dolichoderinae,Azteca_nigra,Rubiaceae,Psychotria_simiarum
Formicinae,Camponotus_sericeventris,Rubiaceae,Psychotria_simiarum
Dolichoderinae,Dolichoderus_lutosus,Rubiaceae,Psychotria_simiarum
Myrmicinae,Pheidole_sp1,Rubiaceae,Psychotria_simiarum
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Psychotria_simiarum
Pseudomyrmecinae,Pseudomyrmex_simplex,Rubiaceae,Psychotria_simiarum
Dolichoderinae,Azteca_nigra,Arecaceae,Reinhardtia_gracilis
Formicinae,Camponotus_novogranadensis,Siparunaceae,Siparuna_andina
Dolichoderinae,Dolichoderus_bispinosus,Siparunaceae,Siparuna_andina
Dolichoderinae,Azteca_nigra,Araceae,Spathiphyllum_cochlarispatum
Formicinae,Camponotus_novogranadensis,Araceae,Spathiphyllum_cochlarispatum
Dolichoderinae,Dolichoderus_bispinosus,Araceae,Spathiphyllum_cochlarispatum
Dolichoderinae,Dolichoderus_bispinosus,Araceae,Spathiphyllum_cochlarispatum
Ponerinae,Neoponera_sp1,Araceae,Spathiphyllum_cochlarispatum
Myrmicinae,Pheidole_dossera,Araceae,Spathiphyllum_cochlarispatum
Myrmicinae,Pheidole_dossera,Araceae,Spathiphyllum_cochlarispatum
Myrmicinae,Pheidole_sp2,Araceae,Spathiphyllum_cochlarispatum
Formicinae,Camponotus_plantatus,Moraceae,Trophis_racemosa
Dolichoderinae,Dolichoderus_bispinosus,Moraceae,Trophis_racemosa
Myrmicinae,Pheidole_dossera,Moraceae,Trophis_racemosa
Myrmicinae,Pheidole_dossera,Moraceae,Trophis_racemosa
Pseudomyrmecinae,Pseudomyrmex_subater,Moraceae,Trophis_racemosa
Dolichoderinae,Dolichoderus_bispinosus,Unidentified,Unidentified_sp1
Pseudomyrmecinae,Pseudomyrmex_salvini,Unidentified,Unidentified_sp1
Ponerinae,Neoponera_unidentata,Vochysiaceae,Vochysia_hondurensis
Pseudomyrmecinae,Pseudomyrmex_subater,Fabaceae,Acacia_cornigera
Pseudomyrmecinae,Pseudomyrmex_salvini,Bromeliaceae,Aechmea_sp1
Ponerinae,Neoponera_unidentata,Euphorbiaceae,Croton_shiedianus
Formicinae,Camponotus_linnaei,Sapindaceae,Cupania_dentata
Formicinae,Camponotus_plantatus,Sapindaceae,Cupania_dentata
Dolichoderinae,Azteca_nigra,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_plantatus,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Meliaceae,Guarea_grandifolia
Dolichoderinae,Azteca_nigra,Urticaceae,Myriocarpa_longipes
Formicinae,Camponotus_plantatus,Urticaceae,Myriocarpa_longipes
Ponerinae,Neoponera_unidentata,Urticaceae,Myriocarpa_longipes
Myrmicinae,Cephalotes_scutulatus,Lauraceae,Nectandra_ambigens
Dolichoderinae,Dolichoderus_bispinosus,Lauraceae,Nectandra_ambigens
Pseudomyrmecinae,Pseudomyrmex_gracilis,Lauraceae,Nectandra_ambigens
Formicinae,Camponotus_linnaei,Primulaceae,Parathesis_macronema
Formicinae,Camponotus_plantatus,Primulaceae,Parathesis_macronema
Formicinae,Camponotus_plantatus,Primulaceae,Parathesis_macronema
Formicinae,Camponotus_plantatus,Primulaceae,Parathesis_macronema
Formicinae,Camponotus_plantatus,Primulaceae,Parathesis_macronema
Formicinae,Camponotus_plantatus,Primulaceae,Parathesis_macronema
Formicinae,Camponotus_plantatus,Primulaceae,Parathesis_macronema
Myrmicinae,Cephalotes_scutulatus,Primulaceae,Parathesis_macronema
Dolichoderinae,Dolichoderus_bispinosus,Primulaceae,Parathesis_macronema
Dolichoderinae,Dolichoderus_bispinosus,Primulaceae,Parathesis_macronema
Ponerinae,Neoponera_unidentata,Primulaceae,Parathesis_macronema
